SeqName	Hit-Desc	GO-Group	GO-ID	Term
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	F	GO:0051287	NAD binding
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	F	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	P	GO:0046168	glycerol-3-phosphate catabolic process
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	C	GO:0009331	glycerol-3-phosphate dehydrogenase complex
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	F	GO:0042803	protein homodimerization activity
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	P	GO:0055114	oxidation-reduction process
HMEL002642-PA	glycerol-3-phosphate dehydrogenase	P	GO:0046486	glycerolipid metabolic process
HMEL002643-PA	methionyl-trna mitochondrial-like	P	GO:0071951	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
HMEL002643-PA	methionyl-trna mitochondrial-like	F	GO:0004930	G-protein coupled receptor activity
HMEL002643-PA	methionyl-trna mitochondrial-like	P	GO:0006413	translational initiation
HMEL002643-PA	methionyl-trna mitochondrial-like	F	GO:0004479	methionyl-tRNA formyltransferase activity
HMEL002643-PA	methionyl-trna mitochondrial-like	P	GO:0007186	G-protein coupled receptor signaling pathway
HMEL002643-PA	methionyl-trna mitochondrial-like	C	GO:0016021	integral to membrane
HMEL002643-PA	methionyl-trna mitochondrial-like	P	GO:0006555	methionine metabolic process
HMEL002643-PA	methionyl-trna mitochondrial-like	P	GO:0046653	tetrahydrofolate metabolic process
HMEL022527-PA	rhodopsin 7	F	GO:0004930	G-protein coupled receptor activity
HMEL022527-PA	rhodopsin 7	F	GO:0009881	photoreceptor activity
HMEL022527-PA	rhodopsin 7	C	GO:0016021	integral to membrane
HMEL022527-PA	rhodopsin 7	P	GO:0007602	phototransduction
HMEL022527-PA	rhodopsin 7	P	GO:0007186	G-protein coupled receptor signaling pathway
HMEL022527-PA	rhodopsin 7	P	GO:0007601	visual perception
HMEL002645-PA	bombyxin a3-like protein	F	GO:0005179	hormone activity
HMEL002645-PA	bombyxin a3-like protein	C	GO:0005576	extracellular region
HMEL002645-PA	bombyxin a3-like protein	P	GO:0007165	signal transduction
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	F	GO:0004889	acetylcholine-activated cation-selective channel activity
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	C	GO:0045211	postsynaptic membrane
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	C	GO:0030054	cell junction
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	C	GO:0005886	plasma membrane
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	C	GO:0016021	integral to membrane
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	P	GO:0006812	cation transport
HMEL002646-PA	nicotinic acetylcholine receptor subunit alpha 4	P	GO:0007165	signal transduction
HMEL002647-PA	multiple epidermal growth factor-like domains protein 11-like	F	GO:0005515	protein binding
HMEL002649-PA	inositol polyphosphate 1-phosphatase-like	P	GO:0046854	phosphatidylinositol phosphorylation
HMEL002650-PA	rna-binding motif x-linked 2-like	F	GO:0003729	mRNA binding
HMEL002650-PA	rna-binding motif x-linked 2-like	P	GO:0000398	mRNA splicing, via spliceosome
HMEL002650-PA	rna-binding motif x-linked 2-like	C	GO:0019013	viral nucleocapsid
HMEL002650-PA	rna-binding motif x-linked 2-like	C	GO:0071011	precatalytic spliceosome
HMEL002650-PA	rna-binding motif x-linked 2-like	C	GO:0071013	catalytic step 2 spliceosome
HMEL002650-PA	rna-binding motif x-linked 2-like	F	GO:0000166	nucleotide binding
HMEL002651-PA	transcription initiation factor tfiid subunit 13	F	GO:0003743	translation initiation factor activity
HMEL002651-PA	transcription initiation factor tfiid subunit 13	F	GO:0046982	protein heterodimerization activity
HMEL002651-PA	transcription initiation factor tfiid subunit 13	P	GO:0006366	transcription from RNA polymerase II promoter
HMEL002651-PA	transcription initiation factor tfiid subunit 13	C	GO:0005840	ribosome
HMEL002651-PA	transcription initiation factor tfiid subunit 13	P	GO:0006446	regulation of translational initiation
HMEL002652-PA	isoform d	F	GO:0003824	catalytic activity
HMEL002652-PA	isoform d	P	GO:0046331	lateral inhibition
HMEL002652-PA	isoform d	P	GO:0009116	nucleoside metabolic process
HMEL002656-PA	elmo domain-containing protein 2-like	C	GO:0005856	cytoskeleton
HMEL002656-PA	elmo domain-containing protein 2-like	P	GO:0006909	phagocytosis
HMEL002657-PA	glutamate-gated chloride channel-like	C	GO:0016021	integral to membrane
HMEL002657-PA	glutamate-gated chloride channel-like	P	GO:0006811	ion transport
HMEL002657-PA	glutamate-gated chloride channel-like	F	GO:0005230	extracellular ligand-gated ion channel activity
HMEL002657-PA	glutamate-gated chloride channel-like	C	GO:0005886	plasma membrane
HMEL002658-PA	mushroom-body isoform c	F	GO:0017130	poly(C) RNA binding
HMEL002658-PA	mushroom-body isoform c	P	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
HMEL002658-PA	mushroom-body isoform c	P	GO:0040040	thermosensory behavior
HMEL002658-PA	mushroom-body isoform c	C	GO:0005634	nucleus
HMEL002660-PA	phosphoglucomutase-2-like	P	GO:0005975	carbohydrate metabolic process
HMEL002660-PA	phosphoglucomutase-2-like	F	GO:0000287	magnesium ion binding
HMEL002660-PA	phosphoglucomutase-2-like	F	GO:0016868	intramolecular transferase activity, phosphotransferases
HMEL002661-PA	lysozyme	P	GO:0019835	cytolysis
HMEL002661-PA	lysozyme	P	GO:0042742	defense response to bacterium
HMEL002661-PA	lysozyme	P	GO:0016998	cell wall macromolecule catabolic process
HMEL002661-PA	lysozyme	F	GO:0003796	lysozyme activity
HMEL002661-PA	lysozyme	P	GO:0005975	carbohydrate metabolic process
HMEL002662-PA	pctp-like protein	F	GO:0008289	lipid binding
HMEL002665-PA	acylphosphatase-2-like	F	GO:0003998	acylphosphatase activity
HMEL002665-PA	acylphosphatase-2-like	P	GO:0006094	gluconeogenesis
HMEL002665-PA	acylphosphatase-2-like	P	GO:0006096	glycolysis
HMEL002665-PA	acylphosphatase-2-like	P	GO:0018874	benzoate metabolic process
HMEL002668-PA	n-acetylgalactosaminyltransferase 7-like	F	GO:0016757	transferase activity, transferring glycosyl groups
HMEL002668-PA	n-acetylgalactosaminyltransferase 7-like	C	GO:0005794	Golgi apparatus
HMEL002668-PA	n-acetylgalactosaminyltransferase 7-like	P	GO:0006486	protein glycosylation
HMEL002668-PA	n-acetylgalactosaminyltransferase 7-like	C	GO:0016021	integral to membrane
HMEL002669-PA	tubulin-specific chaperone c-like	P	GO:0000902	cell morphogenesis
HMEL002669-PA	tubulin-specific chaperone c-like	P	GO:0007023	post-chaperonin tubulin folding pathway
HMEL002674-PA	engulfment and cell motility protein 1-like	C	GO:0005856	cytoskeleton
HMEL002674-PA	engulfment and cell motility protein 1-like	P	GO:0006909	phagocytosis
HMEL002674-PA	engulfment and cell motility protein 1-like	F	GO:0005488	binding
HMEL002675-PA	transmembrane protein 87a-like	C	GO:0016021	integral to membrane
HMEL002676-PA	mesoderm induction early response protein 1	C	GO:0005634	nucleus
HMEL002676-PA	mesoderm induction early response protein 1	F	GO:0003677	DNA binding
HMEL002676-PA	mesoderm induction early response protein 1	F	GO:0003682	chromatin binding
HMEL002676-PA	mesoderm induction early response protein 1	C	GO:0000785	chromatin
HMEL002679-PA	isoform a	P	GO:0035006	melanization defense response
HMEL002679-PA	isoform a	C	GO:0009986	cell surface
HMEL002679-PA	isoform a	F	GO:0005112	Notch binding
HMEL002679-PA	isoform a	P	GO:0045892	negative regulation of transcription, DNA-dependent
HMEL002679-PA	isoform a	P	GO:0001752	compound eye photoreceptor fate commitment
HMEL002679-PA	isoform a	P	GO:0010092	specification of organ identity
HMEL002679-PA	isoform a	P	GO:0050768	negative regulation of neurogenesis
HMEL002679-PA	isoform a	C	GO:0030139	endocytic vesicle
HMEL002679-PA	isoform a	P	GO:0035215	genital disc development
HMEL002679-PA	isoform a	F	GO:0070491	repressing transcription factor binding
HMEL002679-PA	isoform a	P	GO:0007015	actin filament organization
HMEL002679-PA	isoform a	P	GO:0007398	ectoderm development
HMEL002679-PA	isoform a	P	GO:0008358	maternal determination of anterior/posterior axis, embryo
HMEL002679-PA	isoform a	P	GO:0008284	positive regulation of cell proliferation
HMEL002679-PA	isoform a	P	GO:0007498	mesoderm development
HMEL002679-PA	isoform a	F	GO:0070379	high mobility group box 1 binding
HMEL002679-PA	isoform a	P	GO:0060795	cell fate commitment involved in formation of primary germ layer
HMEL002679-PA	isoform a	P	GO:0048190	wing disc dorsal/ventral pattern formation
HMEL002679-PA	isoform a	P	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
HMEL002679-PA	isoform a	P	GO:0007424	open tracheal system development
HMEL002679-PA	isoform a	P	GO:0001708	cell fate specification
HMEL002679-PA	isoform a	C	GO:0031594	neuromuscular junction
HMEL002679-PA	isoform a	P	GO:0006964	positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria
HMEL002679-PA	isoform a	P	GO:0048935	peripheral nervous system neuron development
HMEL002679-PA	isoform a	P	GO:0048728	proboscis development
HMEL002679-PA	isoform a	P	GO:0008347	glial cell migration
HMEL002679-PA	isoform a	P	GO:0030713	ovarian follicle cell stalk formation
HMEL002679-PA	isoform a	F	GO:0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
HMEL002679-PA	isoform a	C	GO:0005912	adherens junction
HMEL002679-PA	isoform a	F	GO:0001077	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
HMEL002679-PA	isoform a	P	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HMEL002679-PA	isoform a	P	GO:0016319	mushroom body development
HMEL002679-PA	isoform a	P	GO:0042048	olfactory behavior
HMEL002679-PA	isoform a	P	GO:0007219	Notch signaling pathway
HMEL002679-PA	isoform a	P	GO:0042387	plasmatocyte differentiation
HMEL002679-PA	isoform a	P	GO:0016330	second mitotic wave involved in compound eye morphogenesis
HMEL002679-PA	isoform a	P	GO:0021553	olfactory nerve development
HMEL002679-PA	isoform a	P	GO:0045465	R8 cell differentiation
HMEL002679-PA	isoform a	P	GO:0042067	establishment of ommatidial planar polarity
HMEL002679-PA	isoform a	P	GO:0048264	determination of ventral identity
HMEL002679-PA	isoform a	P	GO:0045931	positive regulation of mitotic cell cycle
HMEL002679-PA	isoform a	P	GO:0007298	border follicle cell migration
HMEL002679-PA	isoform a	P	GO:0007449	proximal/distal pattern formation, imaginal disc
HMEL002679-PA	isoform a	P	GO:0046331	lateral inhibition
HMEL002679-PA	isoform a	C	GO:0035003	subapical complex
HMEL002679-PA	isoform a	P	GO:0030720	oocyte localization involved in germarium-derived egg chamber formation
HMEL002679-PA	isoform a	P	GO:0008407	chaeta morphogenesis
HMEL002679-PA	isoform a	F	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
HMEL002679-PA	isoform a	P	GO:0048800	antennal morphogenesis
HMEL002679-PA	isoform a	C	GO:0005634	nucleus
HMEL002679-PA	isoform a	P	GO:0007475	apposition of dorsal and ventral imaginal disc-derived wing surfaces
HMEL002679-PA	isoform a	P	GO:0035206	regulation of hemocyte proliferation
HMEL002679-PA	isoform a	P	GO:0036011	imaginal disc-derived leg segmentation
HMEL002679-PA	isoform a	P	GO:0030718	germ-line stem cell maintenance
HMEL002679-PA	isoform a	C	GO:0005667	transcription factor complex
HMEL002680-PA	dorsal	P	GO:0035006	melanization defense response
HMEL002680-PA	dorsal	C	GO:0009986	cell surface
HMEL002680-PA	dorsal	F	GO:0005112	Notch binding
HMEL002680-PA	dorsal	P	GO:0010092	specification of organ identity
HMEL002680-PA	dorsal	P	GO:0045468	regulation of R8 cell spacing in compound eye
HMEL002680-PA	dorsal	P	GO:0007451	dorsal/ventral lineage restriction, imaginal disc
HMEL002680-PA	dorsal	P	GO:0050768	negative regulation of neurogenesis
HMEL002680-PA	dorsal	C	GO:0030139	endocytic vesicle
HMEL002680-PA	dorsal	F	GO:0070491	repressing transcription factor binding
HMEL002680-PA	dorsal	P	GO:0007015	actin filament organization
HMEL002680-PA	dorsal	P	GO:0007479	leg disc proximal/distal pattern formation
HMEL002680-PA	dorsal	P	GO:0035155	negative regulation of terminal cell fate specification, open tracheal system
HMEL002680-PA	dorsal	P	GO:0008284	positive regulation of cell proliferation
HMEL002680-PA	dorsal	P	GO:0001715	ectodermal cell fate specification
HMEL002680-PA	dorsal	P	GO:0007501	mesodermal cell fate specification
HMEL002680-PA	dorsal	P	GO:0007314	oocyte anterior/posterior axis specification
HMEL002680-PA	dorsal	F	GO:0070379	high mobility group box 1 binding
HMEL002680-PA	dorsal	P	GO:0048190	wing disc dorsal/ventral pattern formation
HMEL002680-PA	dorsal	P	GO:0007507	heart development
HMEL002680-PA	dorsal	P	GO:0008063	Toll signaling pathway
HMEL002680-PA	dorsal	P	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
HMEL002680-PA	dorsal	P	GO:0009950	dorsal/ventral axis specification
HMEL002680-PA	dorsal	P	GO:0007474	imaginal disc-derived wing vein specification
HMEL002680-PA	dorsal	P	GO:0042676	compound eye cone cell fate commitment
HMEL002680-PA	dorsal	C	GO:0031594	neuromuscular junction
HMEL002680-PA	dorsal	P	GO:0006964	positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria
HMEL002680-PA	dorsal	P	GO:0048935	peripheral nervous system neuron development
HMEL002680-PA	dorsal	P	GO:0048728	proboscis development
HMEL002680-PA	dorsal	P	GO:0008347	glial cell migration
HMEL002680-PA	dorsal	P	GO:0030713	ovarian follicle cell stalk formation
HMEL002680-PA	dorsal	F	GO:0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
HMEL002680-PA	dorsal	F	GO:0016015	morphogen activity
HMEL002680-PA	dorsal	P	GO:0007419	ventral cord development
HMEL002680-PA	dorsal	P	GO:0007464	R3/R4 cell fate commitment
HMEL002680-PA	dorsal	C	GO:0005912	adherens junction
HMEL002680-PA	dorsal	F	GO:0001077	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription
HMEL002680-PA	dorsal	P	GO:0045944	positive regulation of transcription from RNA polymerase II promoter
HMEL002680-PA	dorsal	P	GO:0016319	mushroom body development
HMEL002680-PA	dorsal	P	GO:0042048	olfactory behavior
HMEL002680-PA	dorsal	P	GO:0007219	Notch signaling pathway
HMEL002680-PA	dorsal	P	GO:0042387	plasmatocyte differentiation
HMEL002680-PA	dorsal	P	GO:0007485	imaginal disc-derived male genitalia development
HMEL002680-PA	dorsal	P	GO:0016330	second mitotic wave involved in compound eye morphogenesis
HMEL002680-PA	dorsal	P	GO:0021553	olfactory nerve development
HMEL002680-PA	dorsal	C	GO:0016021	integral to membrane
HMEL002680-PA	dorsal	P	GO:0008354	germ cell migration
HMEL002680-PA	dorsal	P	GO:0007487	analia development
HMEL002680-PA	dorsal	P	GO:0007460	R8 cell fate commitment
HMEL002680-PA	dorsal	P	GO:0000122	negative regulation of transcription from RNA polymerase II promoter
HMEL002680-PA	dorsal	P	GO:0048264	determination of ventral identity
HMEL002680-PA	dorsal	P	GO:0045931	positive regulation of mitotic cell cycle
HMEL002680-PA	dorsal	P	GO:0010004	gastrulation involving germ band extension
HMEL002680-PA	dorsal	P	GO:0007298	border follicle cell migration
HMEL002680-PA	dorsal	P	GO:0007155	cell adhesion
HMEL002680-PA	dorsal	P	GO:0046331	lateral inhibition
HMEL002680-PA	dorsal	C	GO:0035003	subapical complex
HMEL002680-PA	dorsal	P	GO:0008356	asymmetric cell division
HMEL002680-PA	dorsal	P	GO:0030720	oocyte localization involved in germarium-derived egg chamber formation
HMEL002680-PA	dorsal	F	GO:0005509	calcium ion binding
HMEL002680-PA	dorsal	P	GO:0008407	chaeta morphogenesis
HMEL002680-PA	dorsal	P	GO:0016318	ommatidial rotation
HMEL002680-PA	dorsal	P	GO:0008586	imaginal disc-derived wing vein morphogenesis
HMEL002680-PA	dorsal	F	GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding
HMEL002680-PA	dorsal	P	GO:0048800	antennal morphogenesis
HMEL002680-PA	dorsal	C	GO:0005634	nucleus
HMEL002680-PA	dorsal	P	GO:0007475	apposition of dorsal and ventral imaginal disc-derived wing surfaces
HMEL002680-PA	dorsal	P	GO:0035157	negative regulation of fusion cell fate specification
HMEL002680-PA	dorsal	P	GO:0035206	regulation of hemocyte proliferation
HMEL002680-PA	dorsal	P	GO:0036011	imaginal disc-derived leg segmentation
HMEL002680-PA	dorsal	P	GO:0046667	compound eye retinal cell programmed cell death
HMEL002680-PA	dorsal	P	GO:0030718	germ-line stem cell maintenance
HMEL002680-PA	dorsal	C	GO:0005667	transcription factor complex
HMEL002683-PA	ubiquitin-protein ligase	F	GO:0004842	ubiquitin-protein ligase activity
HMEL002683-PA	ubiquitin-protein ligase	P	GO:0016567	protein ubiquitination
HMEL002684-PA	transportin-3	P	GO:0022008	neurogenesis
HMEL002684-PA	transportin-3	F	GO:0005515	protein binding
HMEL002684-PA	transportin-3	P	GO:0035048	splicing factor protein import into nucleus
HMEL002684-PA	transportin-3	C	GO:0005737	cytoplasm
HMEL002684-PA	transportin-3	P	GO:0048024	regulation of mRNA splicing, via spliceosome
HMEL002684-PA	transportin-3	C	GO:0005634	nucleus
HMEL002685-PA	chromatin assembly factor 1 subunit b-like	F	GO:0005515	protein binding
HMEL002686-PA	ribosomal protein l44e	C	GO:0005840	ribosome
HMEL002686-PA	ribosomal protein l44e	F	GO:0003735	structural constituent of ribosome
HMEL002686-PA	ribosomal protein l44e	P	GO:0006412	translation
HMEL002686-PA	ribosomal protein l44e	P	GO:0042254	ribosome biogenesis
HMEL002687-PA	wash complex subunit ccdc53	F	GO:0005515	protein binding
HMEL002687-PA	wash complex subunit ccdc53	C	GO:0071203	WASH complex
HMEL002688-PA	ubiquitin thioesterase otubain-like	P	GO:0019538	protein metabolic process
HMEL002688-PA	ubiquitin thioesterase otubain-like	P	GO:0006397	mRNA processing
HMEL002688-PA	ubiquitin thioesterase otubain-like	F	GO:0008242	omega peptidase activity
HMEL002689-PA	e3 ubiquitin-protein ligase ubr7-like	F	GO:0008270	zinc ion binding
HMEL002689-PA	e3 ubiquitin-protein ligase ubr7-like	F	GO:0004842	ubiquitin-protein ligase activity
HMEL002689-PA	e3 ubiquitin-protein ligase ubr7-like	P	GO:0016567	protein ubiquitination
HMEL002691-PA	fork head domain transcription factor partial	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL002691-PA	fork head domain transcription factor partial	F	GO:0043565	sequence-specific DNA binding
HMEL002691-PA	fork head domain transcription factor partial	C	GO:0005634	nucleus
HMEL002691-PA	fork head domain transcription factor partial	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL002691-PA	fork head domain transcription factor partial	C	GO:0005667	transcription factor complex
HMEL002691-PA	fork head domain transcription factor partial	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL002694-PA	fork head domain transcription factor partial	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL002694-PA	fork head domain transcription factor partial	F	GO:0043565	sequence-specific DNA binding
HMEL002694-PA	fork head domain transcription factor partial	C	GO:0005634	nucleus
HMEL002694-PA	fork head domain transcription factor partial	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL002694-PA	fork head domain transcription factor partial	C	GO:0005667	transcription factor complex
HMEL002694-PA	fork head domain transcription factor partial	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL002696-PA	protein lethal denticleless-like	P	GO:0022008	neurogenesis
HMEL002696-PA	protein lethal denticleless-like	P	GO:0051726	regulation of cell cycle
HMEL002696-PA	protein lethal denticleless-like	F	GO:0005515	protein binding
HMEL002706-PA	diuretic hormone receptor	F	GO:0008036	diuretic hormone receptor activity
HMEL002706-PA	diuretic hormone receptor	F	GO:0004930	G-protein coupled receptor activity
HMEL002706-PA	diuretic hormone receptor	C	GO:0005886	plasma membrane
HMEL002706-PA	diuretic hormone receptor	P	GO:0009755	hormone-mediated signaling pathway
HMEL002706-PA	diuretic hormone receptor	P	GO:0007186	G-protein coupled receptor signaling pathway
HMEL002706-PA	diuretic hormone receptor	C	GO:0016021	integral to membrane
HMEL002713-PA	valacyclovir hydrolase	F	GO:0016787	hydrolase activity
HMEL002714-PA	translocation protein sec62	C	GO:0016021	integral to membrane
HMEL002714-PA	translocation protein sec62	F	GO:0008565	protein transporter activity
HMEL002714-PA	translocation protein sec62	P	GO:0015031	protein transport
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	F	GO:0046872	metal ion binding
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0055114	oxidation-reduction process
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	F	GO:0004462	lactoylglutathione lyase activity
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	F	GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0005975	carbohydrate metabolic process
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0006090	pyruvate metabolic process
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0006558	L-phenylalanine metabolic process
HMEL002715-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0006570	tyrosine metabolic process
HMEL002717-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0055114	oxidation-reduction process
HMEL002717-PA	4-hydroxyphenylpyruvate dioxygenase-like	F	GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
HMEL002717-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0006558	L-phenylalanine metabolic process
HMEL002717-PA	4-hydroxyphenylpyruvate dioxygenase-like	P	GO:0006570	tyrosine metabolic process
HMEL002721-PA	vascular endothelial growth factor receptor 3 isoform 2	F	GO:0004713	protein tyrosine kinase activity
HMEL002721-PA	vascular endothelial growth factor receptor 3 isoform 2	P	GO:0006468	protein phosphorylation
HMEL002721-PA	vascular endothelial growth factor receptor 3 isoform 2	P	GO:0007165	signal transduction
HMEL002721-PA	vascular endothelial growth factor receptor 3 isoform 2	P	GO:0048522	positive regulation of cellular process
HMEL002721-PA	vascular endothelial growth factor receptor 3 isoform 2	F	GO:0005524	ATP binding
HMEL002722-PA	cuticular protein cpt2	P	GO:0040003	chitin-based cuticle development
HMEL002722-PA	cuticular protein cpt2	C	GO:0005578	proteinaceous extracellular matrix
HMEL002722-PA	cuticular protein cpt2	F	GO:0005214	structural constituent of chitin-based cuticle
HMEL002722-PA	cuticular protein cpt2	P	GO:0010171	body morphogenesis
HMEL002725-PA	tyrosine-protein phosphatase non-receptor type 4	P	GO:0006470	protein dephosphorylation
HMEL002725-PA	tyrosine-protein phosphatase non-receptor type 4	F	GO:0004725	protein tyrosine phosphatase activity
HMEL002725-PA	tyrosine-protein phosphatase non-receptor type 4	F	GO:0005515	protein binding
HMEL002725-PA	tyrosine-protein phosphatase non-receptor type 4	C	GO:0005856	cytoskeleton
HMEL002725-PA	tyrosine-protein phosphatase non-receptor type 4	P	GO:0006570	tyrosine metabolic process
HMEL002726-PA	pou domain protein	P	GO:0007411	axon guidance
HMEL002726-PA	pou domain protein	P	GO:0006355	regulation of transcription, DNA-dependent
HMEL002726-PA	pou domain protein	P	GO:0007608	sensory perception of smell
HMEL002726-PA	pou domain protein	F	GO:0043565	sequence-specific DNA binding
HMEL002726-PA	pou domain protein	P	GO:0007412	axon target recognition
HMEL002726-PA	pou domain protein	F	GO:0003700	sequence-specific DNA binding transcription factor activity
HMEL002726-PA	pou domain protein	C	GO:0005634	nucleus
HMEL002726-PA	pou domain protein	C	GO:0005667	transcription factor complex
HMEL002726-PA	pou domain protein	P	GO:0045449	regulation of transcription, DNA-dependent
HMEL002731-PA	heat shock 70 kda protein cognate 5-like	P	GO:0006457	protein folding
HMEL002731-PA	heat shock 70 kda protein cognate 5-like	P	GO:0006950	response to stress
HMEL002731-PA	heat shock 70 kda protein cognate 5-like	F	GO:0005524	ATP binding
HMEL002731-PA	heat shock 70 kda protein cognate 5-like	F	GO:0051082	unfolded protein binding
HMEL002731-PA	heat shock 70 kda protein cognate 5-like	F	GO:0032440	2-alkenal reductase [NAD(P)] activity
HMEL002731-PA	heat shock 70 kda protein cognate 5-like	P	GO:0055114	oxidation-reduction process
HMEL002732-PA	vacuolar atp synthase subunit s1	F	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
HMEL002732-PA	vacuolar atp synthase subunit s1	F	GO:0046961	proton-transporting ATPase activity, rotational mechanism
HMEL002732-PA	vacuolar atp synthase subunit s1	P	GO:0015991	ATP hydrolysis coupled proton transport
HMEL002732-PA	vacuolar atp synthase subunit s1	C	GO:0033180	proton-transporting V-type ATPase, V1 domain
HMEL002732-PA	vacuolar atp synthase subunit s1	P	GO:0015986	ATP synthesis coupled proton transport
HMEL002732-PA	vacuolar atp synthase subunit s1	C	GO:0045259	proton-transporting ATP synthase complex
HMEL002732-PA	vacuolar atp synthase subunit s1	P	GO:0006119	oxidative phosphorylation
HMEL002733-PA	vacuolar atp synthase subunit s1	P	GO:0015991	ATP hydrolysis coupled proton transport
HMEL002733-PA	vacuolar atp synthase subunit s1	F	GO:0046961	proton-transporting ATPase activity, rotational mechanism
HMEL002733-PA	vacuolar atp synthase subunit s1	C	GO:0033180	proton-transporting V-type ATPase, V1 domain
HMEL002733-PA	vacuolar atp synthase subunit s1	F	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
HMEL002733-PA	vacuolar atp synthase subunit s1	P	GO:0006119	oxidative phosphorylation
HMEL002733-PA	vacuolar atp synthase subunit s1	P	GO:0015986	ATP synthesis coupled proton transport
HMEL002733-PA	vacuolar atp synthase subunit s1	C	GO:0045259	proton-transporting ATP synthase complex
HMEL002734-PA	serine proteinase-like protein 1	F	GO:0004252	serine-type endopeptidase activity
HMEL002734-PA	serine proteinase-like protein 1	P	GO:0006508	proteolysis
HMEL002735-PA	nadh dehydrogenase	P	GO:0006120	mitochondrial electron transport, NADH to ubiquinone
HMEL002735-PA	nadh dehydrogenase	F	GO:0008137	NADH dehydrogenase (ubiquinone) activity
HMEL002735-PA	nadh dehydrogenase	C	GO:0005747	mitochondrial respiratory chain complex I
HMEL002735-PA	nadh dehydrogenase	P	GO:0006744	ubiquinone biosynthetic process
HMEL002735-PA	nadh dehydrogenase	P	GO:0006814	sodium ion transport
HMEL002735-PA	nadh dehydrogenase	P	GO:0015992	proton transport
HMEL002737-PA	gag-like protein	F	GO:0003676	nucleic acid binding
HMEL002737-PA	gag-like protein	F	GO:0008270	zinc ion binding
HMEL002742-PA	glutathione s-transferase omega class	F	GO:0004364	glutathione transferase activity
HMEL002742-PA	glutathione s-transferase omega class	P	GO:0006979	response to oxidative stress
HMEL002742-PA	glutathione s-transferase omega class	F	GO:0016782	transferase activity, transferring sulfur-containing groups
HMEL002742-PA	glutathione s-transferase omega class	P	GO:0006749	glutathione metabolic process
HMEL002742-PA	glutathione s-transferase omega class	P	GO:0008340	determination of adult lifespan
HMEL002742-PA	glutathione s-transferase omega class	F	GO:0004734	pyrimidodiazepine synthase activity
HMEL002742-PA	glutathione s-transferase omega class	F	GO:0045174	glutathione dehydrogenase (ascorbate) activity
HMEL002742-PA	glutathione s-transferase omega class	C	GO:0005737	cytoplasm
HMEL002742-PA	glutathione s-transferase omega class	F	GO:0005515	protein binding
HMEL002742-PA	glutathione s-transferase omega class	P	GO:0006803	glutathione conjugation reaction
HMEL002742-PA	glutathione s-transferase omega class	P	GO:0006118	electron transport
